Name,Elo,Odm_off,Off,Odm_def,Def
Afghanistan,1252.5848586782865,0.994453223859332,0.994453223859332,-1.158887715472379,-1.158887715472379
Albania,1588.9421873859856,1.4716895442383655,1.4716895442383655,-1.7010539199897599,-1.7010539199897599
Algeria,1659.8818771221027,1.7517701439352393,1.7517701439352393,-1.9306992077062708,-1.9306992077062708
American Samoa,1400.0,0.7,0.7,-2.1,-2.1
Andorra,1195.3012837488757,1.081821116362603,1.081821116362603,-1.3291444794641336,-1.3291444794641336
Angola,1458.496435251392,1.5819555239787135,1.5819555239787135,-1.7628849541573848,-1.7628849541573848
Anguilla,1168.2048343335402,0.3909968128910985,0.3909968128910985,-0.5021398181711328,-0.5021398181711328
Antigua and Barbuda,1305.6658340289646,0.6227063323842492,0.6227063323842492,-0.7976190917296188,-0.7976190917296188
Argentina,1965.157276116902,1.8597895470905477,1.8597895470905477,-2.0362429486958997,-2.0362429486958997
Armenia,1437.8105166121823,1.2846286301783583,1.2846286301783583,-1.3686057424899527,-1.3686057424899527
Aruba,1284.4236831907758,0.7931739512209119,0.7931739512209119,-0.858124333338979,-0.858124333338979
Australia,1747.0669232767743,1.6510872282220441,1.6510872282220441,-1.8194560886951436,-1.8194560886951436
Austria,1749.2380796592397,1.666834640237861,1.666834640237861,-1.8147901043173738,-1.8147901043173738
Azerbaijan,1406.9126633538428,1.2835843220284726,1.2835843220284726,-1.3928712622096115,-1.3928712622096115
Bahamas,1211.6067023937483,0.4810906276579458,0.4810906276579458,-0.4684653306222758,-0.4684653306222758
Bahrain,1502.7447218982327,1.3420003881222484,1.3420003881222484,-1.4901737185986301,-1.4901737185986301
Bangladesh,1206.7479548553388,0.9485955825580398,0.9485955825580398,-1.1534214275753922,-1.1534214275753922
Barbados,1281.5586155321316,0.7525220238326739,0.7525220238326739,-0.7578805863610459,-0.7578805863610459
Belarus,1493.9917268168979,1.4016282541872838,1.4016282541872838,-1.556887131657902,-1.556887131657902
Belgium,1816.9001011408882,1.7358831215784918,1.7358831215784918,-1.7980941831004766,-1.7980941831004766
Belize,1344.7512326408569,0.8617740711319497,0.8617740711319497,-0.9179839478959417,-0.9179839478959417
Benin,1389.0429273035968,1.5009973520007929,1.5009973520007929,-1.70240559269451,-1.70240559269451
Bermuda,1379.2709445685448,0.9551553419085281,0.9551553419085281,-0.9835039309177935,-0.9835039309177935
Bhutan,1076.122621935011,0.7216847503766759,0.7216847503766759,-0.8019842156266239,-0.8019842156266239
Bolivia,1570.6776405950236,1.434378760821494,1.434378760821494,-1.6105908985194928,-1.6105908985194928
Bonaire,1296.7834622512005,0.6357913266687958,0.6357913266687958,-0.7203783568807035,-0.7203783568807035
Bosnia and Herzegovina,1589.4531852933787,1.5017677804178107,1.5017677804178107,-1.6168987850663106,-1.6168987850663106
Botswana,1289.4907819293269,1.367417826811788,1.367417826811788,-1.556111837468899,-1.556111837468899
Brazil,1885.6569115426237,1.8120969945582555,1.8120969945582555,-1.9533155672000047,-1.9533155672000047
British Virgin Islands,1163.091643634277,0.5126469828481363,0.5126469828481363,-0.666794505575419,-0.666794505575419
Brunei,1092.1760723131335,0.6626661877201865,0.6626661877201865,-0.7646240156801488,-0.7646240156801488
Bulgaria,1508.2460293440472,1.388202994674435,1.388202994674435,-1.4793844838723536,-1.4793844838723536
Burkina Faso,1494.2542118240142,1.6245925515722155,1.6245925515722155,-1.7738617767839442,-1.7738617767839442
Burundi,1287.4023286712554,1.4151587007608135,1.4151587007608135,-1.623372269607385,-1.623372269607385
Cambodia,1160.1661669699902,0.9469099104759033,0.9469099104759033,-1.042642876586499,-1.042642876586499
Cameroon,1561.7075183413078,1.602970666671365,1.602970666671365,-1.8193728742408488,-1.8193728742408488
Canada,1741.3044372731063,1.5544982362288444,1.5544982362288444,-1.8044615375326993,-1.8044615375326993
Cape Verde,1489.2090323962873,1.5897535739668303,1.5897535739668303,-1.7481337668159627,-1.7481337668159627
Cayman Islands,1258.5281758127521,0.5434054365042348,0.5434054365042348,-0.7180575196754894,-0.7180575196754894
Central African Republic,1252.292120956736,1.366074829197589,1.366074829197589,-1.474136085966027,-1.474136085966027
Chad,1170.4084211340094,1.241223450820016,1.241223450820016,-1.3548500185232066,-1.3548500185232066
Chile,1672.2780917103846,1.5668447309365177,1.5668447309365177,-1.718943209599749,-1.718943209599749
China,1516.9072006329368,1.3322938141640774,1.3322938141640774,-1.5287104506443678,-1.5287104506443678
Colombia,1855.0349374912885,1.820634762946851,1.820634762946851,-1.9211593028796095,-1.9211593028796095
Comoros,1352.637302602384,1.4287174321485376,1.4287174321485376,-1.6927683705339127,-1.6927683705339127
Congo,1279.7797519961832,1.3635858677274535,1.3635858677274535,-1.5109348413318442,-1.5109348413318442
Cook Islands,1246.521532203194,0.688831728793466,0.688831728793466,-0.7894130743907187,-0.7894130743907187
Costa Rica,1663.6040244328233,1.3629257277085765,1.3629257277085765,-1.485856333171583,-1.485856333171583
Croatia,1821.4701198640255,1.7243790484352917,1.7243790484352917,-1.8170554546713014,-1.8170554546713014
Cuba,1419.2408797254475,0.9881339627533764,0.9881339627533764,-1.1332744189581825,-1.1332744189581825
Curaçao,1520.3754474702075,1.2218319223372047,1.2218319223372047,-1.3721728216459474,-1.3721728216459474
Cyprus,1385.9719093177084,1.284136672249292,1.284136672249292,-1.3686543134850604,-1.3686543134850604
Czechia,1691.679441180527,1.5937166842005335,1.5937166842005335,-1.703528861886186,-1.703528861886186
DR Congo,1538.6288423649128,1.659489689206131,1.659489689206131,-1.8984405659183918,-1.8984405659183918
Denmark,1782.9289187493368,1.7717517552586728,1.7717517552586728,-1.8373628598358638,-1.8373628598358638
Djibouti,1069.2204783717639,1.1401354270735584,1.1401354270735584,-1.275458683706537,-1.275458683706537
Dominica,1279.4331801714793,0.6596351559320819,0.6596351559320819,-0.8135346684839622,-0.8135346684839622
Dominican Republic,1464.8064806942166,1.158771909203637,1.158771909203637,-1.3058758491933908,-1.3058758491933908
East Germany,1644.3349645374747,1.5128880068340242,1.5128880068340242,-1.633393616457426,-1.633393616457426
East Timor,1062.1836556112553,0.7727572524741183,0.7727572524741183,-0.8568199618438929,-0.8568199618438929
Eastern Samoa,1149.798976512037,0.5028324440614348,0.5028324440614348,-0.44456035414600376,-0.44456035414600376
Ecuador,1793.6451215799875,1.6622640397074868,1.6622640397074868,-1.9593073300810044,-1.9593073300810044
Egypt,1632.984339629365,1.6788870935051925,1.6788870935051925,-1.9102565469853363,-1.9102565469853363
El Salvador,1482.9546669198514,1.0424837997873033,1.0424837997873033,-1.251776562035484,-1.251776562035484
England,1886.0662385038133,1.8127233631893693,1.8127233631893693,-1.9923285823758277,-1.9923285823758277
Equatorial Guinea,1392.086424476809,1.4554099393127296,1.4554099393127296,-1.6257990971345795,-1.6257990971345795
Eritrea,1202.9416139668856,1.377548075770578,1.377548075770578,-1.552580501207434,-1.552580501207434
Estonia,1409.3680126079814,1.303494737501286,1.303494737501286,-1.4149721237793842,-1.4149721237793842
Eswatini,1185.4668338510694,1.2849184360349053,1.2849184360349053,-1.435438533701481,-1.435438533701481
Ethiopia,1305.9459057885515,1.4079745180709293,1.4079745180709293,-1.5891555891423284,-1.5891555891423284
Faroe Islands,1374.7625536960873,1.3348725536636024,1.3348725536636024,-1.5207406492173685,-1.5207406492173685
Federated States of Micronesia,1400.0,0.7,0.7,-2.1,-2.1
Fiji,1423.6350088363408,1.1286952413368045,1.1286952413368045,-1.2376474273787672,-1.2376474273787672
Finland,1552.8179190059482,1.4280651010474925,1.4280651010474925,-1.5899740929505122,-1.5899740929505122
France,1939.6596815489152,1.8819391042810674,1.8819391042810674,-1.9545077815177465,-1.9545077815177465
French Guiana,1424.582392955263,1.0074494609202769,1.0074494609202769,-1.0956679311696313,-1.0956679311696313
Gabon,1412.8995508497296,1.5820741604164543,1.5820741604164543,-1.5970363076573157,-1.5970363076573157
Gambia,1371.8672632661662,1.6340567015987781,1.6340567015987781,-1.6498037129286862,-1.6498037129286862
Georgia,1596.7544068921502,1.5665782604357281,1.5665782604357281,-1.6646846976799459,-1.6646846976799459
Germany,1867.1222908688708,1.8200707083531766,1.8200707083531766,-1.9041742091466252,-1.9041742091466252
Ghana,1478.3589676398838,1.5922804865538054,1.5922804865538054,-1.747345022814546,-1.747345022814546
Gibraltar,1226.4288200291783,1.0052234643995825,1.0052234643995825,-1.2021226903558855,-1.2021226903558855
Greece,1688.167629995914,1.6054390803394962,1.6054390803394962,-1.7834571680270745,-1.7834571680270745
Greenland,1437.6626092218237,0.9953781123415467,0.9953781123415467,-1.1204526167652613,-1.1204526167652613
Grenada,1359.0249687970056,0.8949219673806837,0.8949219673806837,-1.0117572181455152,-1.0117572181455152
Guadeloupe,1490.2140059349401,1.1655292887603181,1.1655292887603181,-1.2392852182553167,-1.2392852182553167
Guam,1184.9672280762898,0.8135394578184815,0.8135394578184815,-0.8843670040036236,-0.8843670040036236
Guatemala,1568.7783151727033,1.2850825236556886,1.2850825236556886,-1.401954464421634,-1.401954464421634
Guinea,1411.0862111267768,1.5486266271365006,1.5486266271365006,-1.7268238987241964,-1.7268238987241964
Guinea-Bissau,1275.0837046421752,1.3580011314055236,1.3580011314055236,-1.5724149883129144,-1.5724149883129144
Guyana,1449.2314230437782,1.0812160494768397,1.0812160494768397,-1.124401797248271,-1.124401797248271
Haiti,1583.3687444093352,1.323196020024651,1.323196020024651,-1.4803153261092152,-1.4803153261092152
Honduras,1601.9021124816215,1.2702485627694933,1.2702485627694933,-1.508849508513542,-1.508849508513542
Hong Kong,1335.34613347289,1.1703215018925115,1.1703215018925115,-1.2837825555240339,-1.2837825555240339
Hungary,1692.5651253299625,1.5497454093583587,1.5497454093583587,-1.7054468790913386,-1.7054468790913386
Iceland,1554.212971509713,1.5207575503130653,1.5207575503130653,-1.5884571486570835,-1.5884571486570835
India,1362.2416027685376,1.1029824815003066,1.1029824815003066,-1.293084279038388,-1.293084279038388
Indonesia,1450.8515422275912,1.290776136460557,1.290776136460557,-1.4740742490205094,-1.4740742490205094
Iran,1757.8501843191523,1.620304086350604,1.620304086350604,-1.7858987121546246,-1.7858987121546246
Iraq,1653.047142855329,1.473392363115018,1.473392363115018,-1.6633168919709378,-1.6633168919709378
Ireland,1641.6419134262649,1.5192940077955386,1.5192940077955386,-1.6940357658217533,-1.6940357658217533
Israel,1577.7258625408872,1.550772657505723,1.550772657505723,-1.5967284826975516,-1.5967284826975516
Italy,1834.3816409811805,1.7165947382730415,1.7165947382730415,-1.8005308785248209,-1.8005308785248209
Ivory Coast,1618.8135741016954,1.7614094172209684,1.7614094172209684,-1.8916462827007297,-1.8916462827007297
Jamaica,1611.9866087913722,1.2799950248394507,1.2799950248394507,-1.5191342875200973,-1.5191342875200973
Japan,1833.7665103544477,1.7718690156630754,1.7718690156630754,-1.9562160617718012,-1.9562160617718012
Jordan,1628.0636660290186,1.6247340817541482,1.6247340817541482,-1.7291447633337256,-1.7291447633337256
Kazakhstan,1436.1144819255423,1.3280470190964204,1.3280470190964204,-1.5347696237758943,-1.5347696237758943
Kenya,1378.0202970189735,1.422595774288013,1.422595774288013,-1.5701359561173989,-1.5701359561173989
Kiribati,1331.0522117175492,0.8201633327911535,0.8201633327911535,-1.1609778684025407,-1.1609778684025407
Kosovo,1612.7746146154475,1.5713041740139315,1.5713041740139315,-1.7270916256353452,-1.7270916256353452
Kuwait,1440.951221866868,1.3546367501197918,1.3546367501197918,-1.4239002225036728,-1.4239002225036728
Kyrgyzstan,1404.5224445361494,1.3145351412810902,1.3145351412810902,-1.399375816930821,-1.399375816930821
Laos,1124.7451301273522,0.837310759252226,0.837310759252226,-0.9482217269624332,-0.9482217269624332
Latvia,1375.3965876548818,1.2257213242709524,1.2257213242709524,-1.4605359592143103,-1.4605359592143103
Lebanon,1443.4729843842263,1.2776380104762626,1.2776380104762626,-1.480365554763452,-1.480365554763452
Lesotho,1242.4204528101732,1.257517707088953,1.257517707088953,-1.4873469053308912,-1.4873469053308912
Liberia,1275.3806590876131,1.3956856059125946,1.3956856059125946,-1.5384781289039025,-1.5384781289039025
Libya,1400.8310140342353,1.4774778101927502,1.4774778101927502,-1.7147289596138275,-1.7147289596138275
Liechtenstein,1138.0568997490072,0.9628653956399554,0.9628653956399554,-1.0928160624847996,-1.0928160624847996
Lithuania,1351.2903849267336,1.2516116101561483,1.2516116101561483,-1.4396179487775949,-1.4396179487775949
Luxembourg,1435.6959175739296,1.316575257420655,1.316575257420655,-1.5435165452339066,-1.5435165452339066
Macao,1066.8884750338423,0.6317633720554664,0.6317633720554664,-0.7755263743745315,-0.7755263743745315
Madagascar,1346.3343613100822,1.5481744395021324,1.5481744395021324,-1.6187210529044977,-1.6187210529044977
Malawi,1279.8311510580756,1.3154871919097848,1.3154871919097848,-1.5732799146842735,-1.5732799146842735
Malaysia,1458.5850671024655,1.247005217655157,1.247005217655157,-1.3804285651267132,-1.3804285651267132
Maldives,1184.1220997622688,0.8690202975888875,0.8690202975888875,-1.0269184419354347,-1.0269184419354347
Mali,1526.1176982219251,1.6050887641024243,1.6050887641024243,-1.88844004819286,-1.88844004819286
Malta,1329.5901057414771,1.184625379996298,1.184625379996298,-1.3433281179016558,-1.3433281179016558
Martinique,1488.027670163704,1.0418936195254906,1.0418936195254906,-1.2653167611677867,-1.2653167611677867
Mauritania,1328.145371684904,1.3997851339903122,1.3997851339903122,-1.6535843461817017,-1.6535843461817017
Mauritius,1153.9032883892535,1.2095235822655135,1.2095235822655135,-1.5217742442456335,-1.5217742442456335
Mayotte,1295.5918654947095,1.457051310841162,1.457051310841162,-1.694149442039335,-1.694149442039335
Mexico,1800.4391324319713,1.6132774408084978,1.6132774408084978,-1.842693173515366,-1.842693173515366
Moldova,1342.5095217367214,1.225324890398348,1.225324890398348,-1.3039692177618802,-1.3039692177618802
Monaco,1561.0512974958058,1.1063426312843871,1.1063426312843871,-1.3875357336575465,-1.3875357336575465
Mongolia,1162.1849598927333,0.8155344642608013,0.8155344642608013,-1.0009938775082674,-1.0009938775082674
Montenegro,1508.5784832207519,1.3444008908242822,1.3444008908242822,-1.4406062636894064,-1.4406062636894064
Montserrat,1328.4308042417554,0.7490566425486541,0.7490566425486541,-0.9125876415452195,-0.9125876415452195
Morocco,1736.7923200541027,1.766936906957407,1.766936906957407,-2.0118464620193506,-2.0118464620193506
Mozambique,1360.3551403730569,1.4783878812288143,1.4783878812288143,-1.5683079740229133,-1.5683079740229133
Myanmar,1260.1850374242827,0.9898259035935033,0.9898259035935033,-1.077450007192714,-1.077450007192714
Namibia,1306.3273514735502,1.352007935257905,1.352007935257905,-1.5833678815478924,-1.5833678815478924
Nepal,1181.2171596489268,0.8715607075326187,0.8715607075326187,-1.097639006130424,-1.097639006130424
Netherlands,1868.0935443097314,1.8209410327097157,1.8209410327097157,-1.9132623240188673,-1.9132623240188673
Netherlands Antilles,1366.5240861735126,0.7862493370283736,0.7862493370283736,-0.8651068746541712,-0.8651068746541712
New Caledonia,1459.0705257770549,1.3231822255021743,1.3231822255021743,-1.45185671861741,-1.45185671861741
New Zealand,1599.3034847833437,1.5954719397776582,1.5954719397776582,-1.7225870934501208,-1.7225870934501208
Nicaragua,1449.267927589698,1.1119205037645818,1.1119205037645818,-1.2769199349430975,-1.2769199349430975
Niger,1314.0857345203924,1.4996198377986134,1.4996198377986134,-1.663015082500576,-1.663015082500576
